epoch,step,train_loss,validation_loss
0,9,9.445695877075195,
0,19,8.452887535095215,
0,29,7.510430335998535,
0,39,6.626147747039795,
0,49,5.812450885772705,
0,59,5.050558567047119,
0,69,4.350030899047852,
0,70,,4.222867965698242
1,79,3.7365829944610596,
1,89,3.183349132537842,
1,99,2.662597894668579,
1,109,2.1917836666107178,
1,119,1.743035078048706,
1,129,1.3375911712646484,
1,139,1.0052754878997803,
1,141,,0.9087235331535339
2,149,0.7121464610099792,
2,159,0.4627816677093506,
2,169,0.27236315608024597,
2,179,0.11908528208732605,
2,189,0.05817250534892082,
2,199,0.04160640388727188,
2,209,0.026158243417739868,
2,212,,0.02221069298684597
3,219,0.01901284232735634,
3,229,0.017610173672437668,
3,239,0.016176627948880196,
3,249,0.014906983822584152,
3,259,0.012402218766510487,
3,269,0.012517872266471386,
3,279,0.01380002498626709,
3,283,,0.012620911002159119
4,289,0.011581791564822197,
4,299,0.011572297662496567,
4,309,0.012485124170780182,
4,319,0.011568217538297176,
4,329,0.010601915419101715,
4,339,0.011686951853334904,
4,349,0.011111320927739143,
4,354,,0.012160888873040676
5,359,0.012031856924295425,
5,369,0.012756885029375553,
5,379,0.010927574709057808,
5,389,0.011373955756425858,
5,399,0.012141861021518707,
5,409,0.01113071572035551,
5,419,0.012884506024420261,
5,425,,0.013055086135864258
6,429,0.011514348909258842,
6,439,0.011878524906933308,
